Country,Time,Balance,Product,Value,Unit
Australia,May-25,Net Electricity Production,Electricity,22478.7904,GWh
Australia,May-25,Net Electricity Production,Hydro,1198.2912,GWh
Australia,May-25,Net Electricity Production,Total Combustible Fuels,14445.7877,GWh
Australia,May-25,Net Electricity Production,"Coal, Peat and Manufactured Gases",10186.724,GWh
Australia,May-25,Net Electricity Production,Natural Gas,3662.6411,GWh
Australia,May-25,Net Electricity Production,Solar,3611.4846,GWh
Australia,May-25,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",8264.8197,GWh
Australia,May-25,Distribution Losses,Electricity,1092.5296,GWh
Australia,May-25,Final Consumption (Calculated),Electricity,21282.9017,GWh
Australia,May-25,Net Electricity Production,Wind,3223.2269,GWh
Denmark,May-25,Net Electricity Production,Electricity,2448.4533,GWh
Denmark,May-25,Net Electricity Production,Hydro,0.002,GWh
Denmark,May-25,Net Electricity Production,Total Combustible Fuels,365.0975,GWh
Denmark,May-25,Net Electricity Production,"Coal, Peat and Manufactured Gases",2.9594,GWh
Denmark,May-25,Net Electricity Production,Natural Gas,17.1745,GWh
Denmark,May-25,Net Electricity Production,Solar,683.6088,GWh
Denmark,May-25,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",2365.1403,GWh
Denmark,May-25,Total Imports,Electricity,2064.508,GWh
Denmark,May-25,Total Exports,Electricity,1358.5209,GWh
Denmark,May-25,Distribution Losses,Electricity,136.247,GWh
Denmark,May-25,Final Consumption (Calculated),Electricity,3018.1934,GWh
Denmark,May-25,Net Electricity Production,Wind,1399.745,GWh
France,May-25,Net Electricity Production,Electricity,40244.8506,GWh
France,May-25,Net Electricity Production,Nuclear,25512.7134,GWh
France,May-25,Net Electricity Production,Hydro,5753.1683,GWh
France,May-25,Net Electricity Production,Total Combustible Fuels,2053.0554,GWh
France,May-25,Net Electricity Production,Natural Gas,360.0835,GWh
France,May-25,Net Electricity Production,Solar,3444.1332,GWh
France,May-25,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",14078.7564,GWh
France,May-25,Total Imports,Electricity,1294.5741,GWh
France,May-25,Total Exports,Electricity,8765.3684,GWh
France,May-25,Distribution Losses,Electricity,2505.6626,GWh
France,May-25,Final Consumption (Calculated),Electricity,29394.9202,GWh
France,May-25,Net Electricity Production,Wind,3318.7095,GWh
Germany,May-25,Net Electricity Production,Electricity,37815.6629,GWh
Germany,May-25,Net Electricity Production,Hydro,1992.5396,GWh
Germany,May-25,Net Electricity Production,Total Combustible Fuels,14660.093,GWh
Germany,May-25,Net Electricity Production,"Coal, Peat and Manufactured Gases",5479.209,GWh
Germany,May-25,Net Electricity Production,Natural Gas,4828.2844,GWh
Germany,May-25,Net Electricity Production,Solar,11753.9563,GWh
Germany,May-25,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",26477.9352,GWh
Germany,May-25,Total Imports,Electricity,6264.0164,GWh
Germany,May-25,Total Exports,Electricity,4522.9641,GWh
Germany,May-25,Distribution Losses,Electricity,2000.0879,GWh
Germany,May-25,Final Consumption (Calculated),Electricity,36455.8779,GWh
Germany,May-25,Net Electricity Production,Wind,9289.0703,GWh
Japan,May-25,Net Electricity Production,Electricity,67314.1424,GWh
Japan,May-25,Net Electricity Production,Nuclear,9456.0553,GWh
Japan,May-25,Net Electricity Production,Hydro,7657.3646,GWh
Japan,May-25,Net Electricity Production,Total Combustible Fuels,37420.9869,GWh
Japan,May-25,Net Electricity Production,"Coal, Peat and Manufactured Gases",15408.0802,GWh
Japan,May-25,Net Electricity Production,Natural Gas,16292.5022,GWh
Japan,May-25,Net Electricity Production,Solar,9953.6516,GWh
Japan,May-25,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",22263.251,GWh
Japan,May-25,Distribution Losses,Electricity,3462.9576,GWh
Japan,May-25,Final Consumption (Calculated),Electricity,60453.4298,GWh
Japan,May-25,Net Electricity Production,Wind,1134.7137,GWh
United Kingdom,May-25,Net Electricity Production,Electricity,19600.0606,GWh
United Kingdom,May-25,Net Electricity Production,Nuclear,3504.9625,GWh
United Kingdom,May-25,Net Electricity Production,Hydro,258.9672,GWh
United Kingdom,May-25,Net Electricity Production,Total Combustible Fuels,8167.3081,GWh
United Kingdom,May-25,Net Electricity Production,"Coal, Peat and Manufactured Gases",0.4643,GWh
United Kingdom,May-25,Net Electricity Production,Natural Gas,4731.939,GWh
United Kingdom,May-25,Net Electricity Production,Solar,1953.0838,GWh
United Kingdom,May-25,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",10732.5167,GWh
United Kingdom,May-25,Total Imports,Electricity,3587.258,GWh
United Kingdom,May-25,Total Exports,Electricity,844.8542,GWh
United Kingdom,May-25,Distribution Losses,Electricity,1893.1908,GWh
United Kingdom,May-25,Final Consumption (Calculated),Electricity,20351.4671,GWh
United Kingdom,May-25,Net Electricity Production,Wind,5629.8146,GWh
United States,May-25,Net Electricity Production,Electricity,356011.9413,GWh
United States,May-25,Net Electricity Production,Nuclear,62119.7553,GWh
United States,May-25,Net Electricity Production,Hydro,26234.2372,GWh
United States,May-25,Net Electricity Production,Total Combustible Fuels,191061.9266,GWh
United States,May-25,Net Electricity Production,"Coal, Peat and Manufactured Gases",51004.2755,GWh
United States,May-25,Net Electricity Production,Natural Gas,133235.0742,GWh
United States,May-25,Net Electricity Production,Solar,38423.4045,GWh
United States,May-25,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",106450.7378,GWh
United States,May-25,Total Imports,Electricity,1473.3455,GWh
United States,May-25,Total Exports,Electricity,1067.2094,GWh
United States,May-25,Distribution Losses,Electricity,24790.678,GWh
United States,May-25,Final Consumption (Calculated),Electricity,329349.4303,GWh
United States,May-25,Net Electricity Production,Wind,36690.2374,GWh
People's Republic of China,May-25,Net Electricity Production,Electricity,787098.3006,GWh
People's Republic of China,May-25,Net Electricity Production,Nuclear,36661.7044,GWh
People's Republic of China,May-25,Net Electricity Production,Hydro,104879.4677,GWh
People's Republic of China,May-25,Net Electricity Production,Total Combustible Fuels,443281.6716,GWh
People's Republic of China,May-25,Net Electricity Production,"Coal, Peat and Manufactured Gases",406905.401,GWh
People's Republic of China,May-25,Net Electricity Production,Natural Gas,20888.2328,GWh
People's Republic of China,May-25,Net Electricity Production,Solar,102298.2913,GWh
People's Republic of China,May-25,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",321438.1217,GWh
People's Republic of China,May-25,Net Electricity Production,Wind,99960.9702,GWh
Australia,Apr-25,Net Electricity Production,Electricity,21041.0542,GWh
Australia,Apr-25,Net Electricity Production,Hydro,982.4615,GWh
Australia,Apr-25,Net Electricity Production,Total Combustible Fuels,13110.0606,GWh
Australia,Apr-25,Net Electricity Production,"Coal, Peat and Manufactured Gases",9405.6027,GWh
